Wave 	Occultation Pair 	    d_time       d_longitude  d_phase 	sigma_phase
                                    (days)         (deg)      (deg)        (deg)
W84.64 gamCru079i-betGru078i        6.15941       237.0       234.7        16.8
W84.82 gamCru079i-betGru078i        6.15970       237.9        68.1         1.4
W85.67 gamCru079i-betGru078i        6.16049       241.4        55.2         2.9
W86.58 gamCru079i-betGru078i        6.16080       244.2       153.4        18.7
W86.59 gamCru079i-betGru078i        6.16080       244.2       161.6         6.0
W87.19 gamCru079i-betGru078i        6.16084       245.8       171.4         8.7
W86.59 gamCru079i-gamCru078i        6.69875       358.4       284.3        10.4
W86.4i gamCru079i-gamCru078i        6.69877       358.4       261.0         4.0
W85.67 gamCru079i-gamCru078i        6.69886       358.4       332.2         3.4
W84.82 gamCru079i-gamCru078i        6.69896       358.4       176.9         8.2
W84.64 gamCru079i-gamCru078i        6.69898       358.4       272.2        17.9
W82.21 gamCru079i-gamCru078i        6.69927       358.3       132.5         5.2
W82.06 gamCru079i-gamCru078i        6.69929       358.3        49.9         4.6
W82.00 gamCru079i-gamCru078i        6.69930       358.3         0.6        10.6
W80.98 gamCru079i-gamCru078i        6.69942       358.3       125.1         4.6
W80.98 gamCru078i-gamCru077i        7.04255       359.8         5.3         5.2
W82.00 gamCru078i-gamCru077i        7.04255       359.8         4.6         5.5
W82.06 gamCru078i-gamCru077i        7.04255       359.8        48.9         3.6
W84.64 gamCru078i-gamCru077i        7.04256       359.8        31.0         8.3
W85.67 gamCru078i-gamCru077i        7.04257       359.8        96.7         7.4
W86.4i gamCru078i-gamCru077i        7.04257       359.8       185.3         1.4
W86.59 gamCru078i-gamCru077i        7.04257       359.8       200.7         1.2
W87.19 gamCru078i-gamCru077i        7.04257       359.8       100.0         4.0
W87.19 gamCru082i-gamCru081i        7.35858       359.6        86.7        10.6
W86.4o gamCru082i-gamCru081i        7.35858       359.6        97.2         4.7
W86.4i gamCru082i-gamCru081i        7.35858       359.6        74.9         3.9
W84.82 gamCru082i-gamCru081i        7.35859       359.6       310.5         2.2
W84.64 gamCru082i-gamCru081i        7.35859       359.6       353.0        12.0
W82.21 gamCru082i-gamCru081i        7.35860       359.5       320.7         5.5
W82.06 gamCru082i-gamCru081i        7.35860       359.5       223.3         4.3
W82.00 gamCru082i-gamCru081i        7.35860       359.5       193.8         5.2
W80.98 gamCru094i-gamCru093i        7.36350       343.4       337.1         1.9
W82.00 gamCru094i-gamCru093i        7.36367       343.6        76.3        13.8
W82.06 gamCru094i-gamCru093i        7.36368       343.6       143.9         5.9
W82.21 gamCru094i-gamCru093i        7.36371       343.7       233.7        13.8
W84.64 gamCru094i-gamCru093i        7.36412       344.1       277.2         4.2
W86.4o gamCru094i-gamCru093i        7.36442       344.5        63.2         3.9
W86.59 betGru078i-gamCru077i        7.58052       114.0       329.0         2.9
W85.67 betGru078i-gamCru077i        7.58093       116.8         8.8         2.1
W84.64 betGru078i-gamCru077i        7.58213       121.2        74.6        11.0
W80.98 gamCru187i-WHya186e          8.82700       213.4       187.3         7.4
W80.98 gamCru187e-WHya186e          8.95116       287.0       350.2         3.7
W81.02 gamCru187e-WHya186e          8.95119       287.1       349.7        17.7
W80.98 gamCru102i-gamCru101i        9.55058       359.7       322.3         1.4
W81.02 gamCru102i-gamCru101i        9.55058       359.7       237.1         8.3
W82.00 gamCru102i-gamCru101i        9.55059       359.7       323.3         4.8
W82.06 gamCru102i-gamCru101i        9.55059       359.7       334.7         2.3
