Wave 	Occultation Pair 	    d_time       d_longitude  d_phase 	sigma_phase
                                    (days)         (deg)      (deg)        (deg)
W86.59 gamCru077i-gamCru071i       42.41683       358.1       215.7         3.9
W87.19 gamCru077i-gamCru071i       42.41684       358.1       257.5         6.8
W87.19 gamCru093i-RSCnc087e        42.92791        82.6        39.5        11.6
W86.4i gamCru093i-RSCnc087e        42.93265        84.3       287.9         4.4
W85.67 gamCru093i-RSCnc087e        42.93736        86.1       153.2        18.7
W84.86 gamCru093i-RSCnc087e        42.94310        88.3       252.9         5.6
W84.64 gamCru093i-RSCnc087e        42.94482        89.0       227.0         4.9
W84.64 gamCru093i-RSCnc087i        42.99281       114.9        90.8         2.4
W84.82 gamCru093i-RSCnc087i        42.99346       115.4       133.2         1.8
W84.86 gamCru093i-RSCnc087i        42.99362       115.5       189.5        17.7
W85.67 gamCru093i-RSCnc087i        42.99611       117.5        72.8        11.4
W86.4i gamCru093i-RSCnc087i        42.99792       119.0       153.0         5.3
W86.4o gamCru093i-RSCnc087i        42.99799       119.1       313.5         8.6
W86.58 gamCru093i-RSCnc087i        42.99830       119.3       224.5         4.6
W86.59 gamCru093i-RSCnc087i        42.99834       119.4       266.2        10.0
W82.00 muCep185e-WHya181i          44.15041       259.0        38.1         4.9
W82.21 muCep185e-WHya181i          44.15164       259.3       148.4         7.7
W83.63 muCep185e-WHya181i          44.16028       261.7        14.8        11.2
W84.64 muCep185e-WHya181i          44.16622       263.4       299.2         4.5
W84.82 muCep185e-WHya181i          44.16729       263.6       109.5        12.5
W84.86 muCep185e-WHya181i          44.16755       263.7       172.2        11.2
W86.4o muCep185e-WHya181i          44.17657       266.1       305.1         7.3
W86.59 muCep185e-WHya181i          44.17747       266.3       289.3         4.2
Mi 6:2 gamCru101i-gamCru096i       44.52170        34.9        69.4        10.5
W87.19 gamCru101i-gamCru096i       44.52254        36.0         3.2         0.6
W86.59 gamCru101i-gamCru096i       44.52273        36.3       235.4         8.1
W86.58 gamCru101i-gamCru096i       44.52273        36.3       211.2        19.9
W86.4o gamCru101i-gamCru096i       44.52278        36.4       240.3         2.8
W86.4i gamCru101i-gamCru096i       44.52279        36.4       200.2        11.8
W85.67 gamCru101i-gamCru096i       44.52303        36.7       205.8         3.7
W84.82 gamCru101i-gamCru096i       44.52331        37.2         4.7         6.6
W84.64 gamCru101i-gamCru096i       44.52338        37.2       332.1         3.1
W82.21 gamCru101i-gamCru096i       44.52422        38.5       103.4         5.6
W82.06 gamCru101i-gamCru096i       44.52428        38.5       204.5        12.5
W82.00 gamCru101i-gamCru096i       44.52430        38.6       312.0         3.4
W80.98 gamCru101i-gamCru096i       44.52467        39.1       340.7        16.0
W84.82 RCas185i-WHya181i          44.73849       183.9       280.9         0.6
W82.21 RCas185i-WHya181i          44.74183       184.0       120.1        11.1
W80.98 RCas185i-WHya181i          44.74344       184.1       198.7         5.5
W80.98 betPeg104i-gamCru100i       44.91199       118.3       256.6         0.9
W82.00 betPeg104i-gamCru100i       44.91295       119.2        20.9         9.5
W82.06 betPeg104i-gamCru100i       44.91300       119.2       226.1        10.7
W82.21 betPeg104i-gamCru100i       44.91314       119.4       131.5        11.0
W84.64 betPeg104i-gamCru100i       44.91543       121.4       133.9         7.2
W84.86 betPeg104i-gamCru100i       44.91564       121.6        73.3         1.5
W85.67 betPeg104i-gamCru100i       44.91640       122.2       108.3         2.6
W86.4o betPeg104i-gamCru100i       44.91711       122.8       359.7        13.6
W82.06 muCep191i-WHya186e          45.13010       352.0       170.5         0.6
W80.98 RCas191i-WHya186e          46.02078       358.5         1.4         3.7
Pd 4:2 RSCnc087i-gamCru081i        46.40175       262.3        43.4         6.9
W87.19 RSCnc087i-gamCru081i        46.40656       267.3       244.0         1.3
W86.59 RSCnc087i-gamCru081i        46.40792       268.6       351.1         6.3
W86.4o RSCnc087i-gamCru081i        46.40831       268.9       276.1         5.4
W86.4i RSCnc087i-gamCru081i        46.40839       269.0       348.1         1.3
W85.67 RSCnc087i-gamCru081i        46.41037       270.8       111.1         0.6
W84.86 RSCnc087i-gamCru081i        46.41305       273.0        25.2        16.5
W84.82 RSCnc087i-gamCru081i        46.41322       273.2       310.1         4.3
W84.64 RSCnc087i-gamCru081i        46.41392       273.7       242.0         3.1
W83.63 RSCnc087i-gamCru081i        46.41876       277.4        58.3         8.3
W86.59 RSCnc085i-gamCru079i        46.41879       265.0       301.6         5.1
W86.4o RSCnc085i-gamCru079i        46.41909       265.3       331.2         4.5
W86.4i RSCnc085i-gamCru079i        46.41915       265.4       280.4         7.4
W85.67 RSCnc085i-gamCru079i        46.42065       266.9       100.7         5.7
W84.82 RSCnc085i-gamCru079i        46.42270       268.8       274.1         2.1
W84.64 RSCnc085i-gamCru079i        46.42318       269.3       215.4        13.9
W82.21 RSCnc085i-gamCru079i        46.43267       276.9       281.4         5.8
W82.06 RSCnc085i-gamCru079i        46.43362       277.6       340.0         3.6
W82.00 RSCnc085i-gamCru079i        46.43397       277.9       134.5         1.5
W83.63 RSCnc087e-gamCru081i        46.45354       296.3       106.7         5.3
W84.64 RSCnc087e-gamCru081i        46.46191       299.6       106.1         3.9
W84.82 RSCnc087e-gamCru081i        46.46325       300.1       265.6         6.4
W84.86 RSCnc087e-gamCru081i        46.46357       300.2       328.9         2.9
W82.00 RSCnc085e-gamCru079i        46.46447       294.8        15.2         2.8
W82.06 RSCnc085e-gamCru079i        46.46499       295.0       224.2        10.8
W82.21 RSCnc085e-gamCru079i        46.46648       295.6       165.0        10.0
W85.67 RSCnc087e-gamCru081i        46.46912       302.2        52.0         3.7
W86.4i RSCnc087e-gamCru081i        46.47365       303.7       263.6        11.6
W86.4o RSCnc087e-gamCru081i        46.47383       303.8       216.9         4.3
W86.59 RSCnc087e-gamCru081i        46.47479       304.1       201.1         8.5
W87.19 RSCnc087e-gamCru081i        46.47821       305.2        44.1         2.9
W84.64 RSCnc085e-gamCru079i        46.48451       302.5        43.7        11.9
W84.82 RSCnc085e-gamCru079i        46.48563       302.9       214.4         3.1
W85.67 RSCnc085e-gamCru079i        46.49071       304.6       332.5         5.0
Pd 4:2 RSCnc087e-gamCru081i        46.49254       309.3       358.1        18.6
W86.4i RSCnc085e-gamCru079i        46.49476       305.8       161.6         8.7
W86.59 RSCnc085e-gamCru079i        46.49578       306.1       200.7         3.4
W87.19 RSCnc085e-gamCru079i        46.49891       307.1       349.8         4.9
W80.98 gamCru078i-gamCru071i       49.45924       357.8       208.8         3.5
W82.00 gamCru078i-gamCru071i       49.45927       357.8        75.0        14.5
W82.06 gamCru078i-gamCru071i       49.45927       357.8       317.3         2.0
W82.21 gamCru078i-gamCru071i       49.45928       357.8       299.5         9.8
W84.64 gamCru078i-gamCru071i       49.45934       357.8       246.3         5.0
W84.82 gamCru078i-gamCru071i       49.45935       357.8       149.5         0.8
W84.86 gamCru078i-gamCru071i       49.45935       357.8       210.9         2.9
W86.4i gamCru078i-gamCru071i       49.45939       357.8        27.5         2.9
W86.4o gamCru078i-gamCru071i       49.45939       357.8        30.8         4.5
W86.59 gamCru078i-gamCru071i       49.45939       357.9        64.3         9.7
W87.19 gamCru078i-gamCru071i       49.45941       357.9         4.4         7.8
W86.59 betGru078i-gamCru071i       49.99735       112.1       187.3         7.7
W86.58 betGru078i-gamCru071i       49.99735       112.1       146.5         0.4
W86.4o betGru078i-gamCru071i       49.99739       112.5       116.4         1.3
W84.82 betGru078i-gamCru071i       49.99861       118.3       255.8         6.4
W84.64 betGru078i-gamCru071i       49.99891       119.2       286.5         6.1
W86.4o gamCru094i-RSCnc087e        50.29689        68.7        42.2        12.3
W85.67 gamCru094i-RSCnc087e        50.30165        70.4       207.9         3.2
W84.64 gamCru094i-RSCnc087e        50.30894        73.2       146.1         4.6
W84.64 gamCru094i-RSCnc087i        50.35693        99.0         6.8         4.5
W86.4o gamCru094i-RSCnc087i        50.36241       103.5       357.7         7.0
W86.59 gamCru094i-RSCnc087i        50.36279       103.9       300.0         1.0
W86.59 RCas106i-gamCru102i         50.36617       215.0       333.8         2.9
W85.67 RCas106i-gamCru102i         50.36799       216.2       176.9         7.8
W84.86 RCas106i-gamCru102i         50.36986       217.4        89.2         8.4
W84.82 RCas106i-gamCru102i         50.36997       217.5         5.5         2.0
W84.64 RCas106i-gamCru102i         50.37042       217.8       210.4         6.8
W87.19 gamCru100i-gamCru094i       50.37643        30.0         5.0        18.4
W86.59 gamCru100i-gamCru094i       50.37653        30.2        51.8         0.5
W86.4o gamCru100i-gamCru094i       50.37655        30.3        42.9         8.6
W85.67 gamCru100i-gamCru094i       50.37669        30.6        11.5         9.6
W84.64 gamCru100i-gamCru094i       50.37688        31.0       140.5         8.7
W82.21 gamCru100i-gamCru094i       50.37736        32.1       314.6         3.4
W82.06 gamCru100i-gamCru094i       50.37739        32.1       317.6         1.4
W82.00 gamCru100i-gamCru094i       50.37740        32.1        75.9         4.0
W80.98 gamCru100i-gamCru094i       50.37762        32.6       356.5         6.5
W82.21 RCas106i-gamCru102i         50.37855       222.7       179.5        13.7
W82.06 RCas106i-gamCru102i         50.37924       223.1       179.4         6.6
W82.00 RCas106i-gamCru102i         50.37949       223.2       282.5         5.3
W80.98 RCas106i-gamCru102i         50.38577       226.8         4.2         1.8
Mi 6:2 RSCnc080i-gamCru073i        51.44860       252.7       289.0        17.4
W86.59 RSCnc080i-gamCru073i        51.45207       257.2       230.5        12.4
W86.4o RSCnc080i-gamCru073i        51.45227       257.4       252.0         3.8
W84.86 RSCnc080i-gamCru073i        51.45449       259.9        50.7        16.0
W84.82 RSCnc080i-gamCru073i        51.45456       260.0       252.6        13.7
W84.64 RSCnc080i-gamCru073i        51.45485       260.3       183.7         9.6
W83.63 RSCnc080i-gamCru073i        51.45658       262.2       208.0         9.5
W82.21 RSCnc080i-gamCru073i        51.45955       265.1        69.9         9.1
W82.06 RSCnc080i-gamCru073i        51.45990       265.5        49.4         4.5
W82.00 RSCnc080i-gamCru073i        51.46002       265.6       141.8        12.6
Pd 4:2 RSCnc087i-RSCnc080e         51.48631       306.4        69.6         7.1
W86.59 RSCnc087i-RSCnc080e         51.50723       316.2         4.3        10.6
W84.86 RSCnc087i-RSCnc080e         51.52070       322.9        51.3         1.4
W84.82 RSCnc087i-RSCnc080e         51.52109       323.1       316.5         2.0
W84.64 RSCnc087i-RSCnc080e         51.52270       323.9        84.7         7.9
W82.00 RSCnc080e-gamCru073i        51.52395       301.6       277.1         5.6
W82.06 RSCnc080e-gamCru073i        51.52424       301.7       183.1         2.9
W82.21 RSCnc080e-gamCru073i        51.52509       302.0       201.5         9.5
W83.63 RSCnc087i-RSCnc080e         51.53271       329.1       232.0        12.7
W83.63 RSCnc080e-gamCru073i        51.53279       304.6       290.3        10.2
W80.98 gamCru089i-gamCru082i       51.53448       358.7        64.4         3.3
W82.00 gamCru089i-gamCru082i       51.53449       358.7        53.3         5.9
W82.06 gamCru089i-gamCru082i       51.53449       358.7       298.7         1.5
W84.64 gamCru089i-gamCru082i       51.53452       358.8        67.7        10.7
W84.82 gamCru089i-gamCru082i       51.53452       358.8         0.7         4.7
W84.86 gamCru089i-gamCru082i       51.53452       358.8        47.7         6.3
W85.67 gamCru089i-gamCru082i       51.53453       358.8        30.9         3.8
W86.4i gamCru089i-gamCru082i       51.53453       358.8       335.0        12.4
W87.19 gamCru089i-gamCru082i       51.53454       358.8       178.3        12.3
W84.64 RSCnc080e-gamCru073i        51.53785       306.1       308.0         3.8
W84.86 RSCnc080e-gamCru073i        51.53897       306.5       244.0         5.5
W86.58 RSCnc080e-gamCru073i        51.54704       308.8       167.9        13.6
W86.59 RSCnc080e-gamCru073i        51.54713       308.8       224.6         4.0
W83.63 RSCnc087e-RSCnc080e         51.56748       348.0       286.2         7.3
W84.64 RSCnc087e-RSCnc080e         51.57069       349.8       303.9         2.5
W85.67 RSCnc087e-RSCnc080e         51.57278       350.9       267.1         1.2
W86.4o RSCnc087e-RSCnc080e         51.57390       351.6       302.4         6.0
W86.59 RSCnc087e-RSCnc080e         51.57411       351.7       243.0        11.6
W86.4i gamCru086i-gamCru079i       51.59925       357.8        48.3        12.6
W86.4o gamCru086i-gamCru079i       51.59925       357.8       195.9        10.0
W87.19 gamCru086i-gamCru079i       51.59925       357.8       329.3        17.3
W82.21 gamCru086i-gamCru079i       51.59925       357.7       350.3         4.8
W82.06 gamCru086i-gamCru079i       51.59925       357.7       341.9         5.3
W82.00 gamCru086i-gamCru079i       51.59925       357.7        99.5         3.6
W80.98 gamCru086i-gamCru079i       51.59925       357.7        30.3         1.5
Mi 6:2 RSCnc087i-RSCnc080i         51.59931         6.2        66.3        11.4
W86.4i RSCnc087i-RSCnc080i         51.60254         8.0       285.6         7.0
W85.67 RSCnc087i-RSCnc080i         51.60362         8.6       246.7         9.1
W84.82 RSCnc087i-RSCnc080i         51.60528         9.5       240.2         5.9
W84.64 RSCnc087i-RSCnc080i         51.60571         9.7       205.3         5.9
W83.63 RSCnc087i-RSCnc080i         51.60892        11.5       311.7         7.7
W83.63 RSCnc087e-RSCnc080i         51.64369        30.4         3.4         2.9
W84.64 RSCnc087e-RSCnc080i         51.65370        35.6        70.8         3.9
W84.82 RSCnc087e-RSCnc080i         51.65531        36.4       191.3         3.3
W86.4i RSCnc087e-RSCnc080i         51.66780        42.7       161.2         0.3
W86.4o RSCnc087e-RSCnc080i         51.66802        42.8       200.1         3.5
W86.59 RSCnc087e-RSCnc080i         51.66916        43.3       236.4        19.0
W86.59 gamCru093i-gamCru086i       52.56242        29.4       236.4        16.5
W84.86 gamCru093i-gamCru086i       52.56282        30.0       145.6         2.3
W82.21 gamCru093i-gamCru086i       52.56345        31.0       127.3         6.0
W82.06 gamCru093i-gamCru086i       52.56348        31.0       100.6         6.9
W82.00 gamCru093i-gamCru086i       52.56350        31.0       210.4        18.0
W81.02 gamCru093i-gamCru086i       52.56373        31.4        58.4        18.0
W80.98 gamCru093i-gamCru086i       52.56373        31.4       221.1         2.8
W86.59 RSCnc085i-betGru078i        52.57959       149.2       104.0        10.4
W86.58 RSCnc085i-betGru078i        52.57963       149.2        50.0         4.8
W85.67 RSCnc085i-betGru078i        52.58114       148.3       160.0         3.9
W84.82 RSCnc085i-betGru078i        52.58240       146.8       342.7         3.8
W84.64 RSCnc085i-betGru078i        52.58259       146.3        96.5         7.1
W84.64 RSCnc085e-betGru078i        52.64392       179.5       273.3         7.5
W84.82 RSCnc085e-betGru078i        52.64533       180.8       282.6         2.9
W84.86 RSCnc085e-betGru078i        52.64567       181.1       352.2         2.3
W85.67 RSCnc085e-betGru078i        52.65120       185.9        29.8         1.2
W86.58 RSCnc085e-betGru078i        52.65647       190.3        53.0        14.6
W86.59 RSCnc085e-betGru078i        52.65658       190.4         8.0        10.1
W86.59 RSCnc085i-gamCru078i        53.11754       263.5       224.9        15.5
W86.4i RSCnc085i-gamCru078i        53.11793       263.8       166.2        17.2
W85.67 RSCnc085i-gamCru078i        53.11951       265.3        79.1         3.0
W84.82 RSCnc085i-gamCru078i        53.12166       267.2        85.6        12.4
W84.64 RSCnc085i-gamCru078i        53.12216       267.7       137.9         4.9
W83.63 RSCnc085i-gamCru078i        53.12535       270.3        96.3        13.2
W82.21 RSCnc085i-gamCru078i        53.13194       275.3        52.1         5.8
W82.06 RSCnc085i-gamCru078i        53.13291       276.0        31.8         2.3
W82.00 RSCnc085i-gamCru078i        53.13326       276.2       134.2        11.1
W82.00 RSCnc085e-gamCru078i        53.16377       293.1        14.1         7.3
W82.06 RSCnc085e-gamCru078i        53.16428       293.3       275.3         7.6
W82.21 RSCnc085e-gamCru078i        53.16575       294.0       292.3         2.7
W83.63 RSCnc085e-gamCru078i        53.17701       298.6        20.1         2.8
W84.64 RSCnc085e-gamCru078i        53.18349       300.9       313.1         7.3
W84.82 RSCnc085e-gamCru078i        53.18459       301.3        29.4        12.4
W84.86 RSCnc085e-gamCru078i        53.18486       301.4       110.5         2.9
W85.67 RSCnc085e-gamCru078i        53.18957       303.0       301.8         4.6
W86.4i RSCnc085e-gamCru078i        53.19353       304.3        69.7         6.2
W86.4o RSCnc085e-gamCru078i        53.19369       304.3       146.0         1.9
W86.58 RSCnc085e-gamCru078i        53.19443       304.5        38.6        10.3
W86.59 RSCnc085e-gamCru078i        53.19453       304.6       134.0         7.0
W87.19 RSCnc085e-gamCru078i        53.19759       305.5       274.4         3.1
W82.00 gamCru096i-gamCru089i       53.30457         8.5       233.7         3.8
W82.06 gamCru096i-gamCru089i       53.30458         8.5       137.0        11.9
W82.21 gamCru096i-gamCru089i       53.30459         8.5       182.8         3.9
W84.64 gamCru096i-gamCru089i       53.30478         8.2       358.5         2.9
W84.82 gamCru096i-gamCru089i       53.30479         8.2       306.4         2.4
W85.67 gamCru096i-gamCru089i       53.30486         8.1        41.1         6.1
W86.4o gamCru096i-gamCru089i       53.30491         8.0        98.7         3.4
W86.58 gamCru096i-gamCru089i       53.30492         8.0        26.8        18.4
W86.59 gamCru096i-gamCru089i       53.30493         8.0       105.9         2.8
W87.19 gamCru096i-gamCru089i       53.30497         8.0        21.6         2.9
W86.4i RCas194e-WHya189e          53.50012       149.1         0.4         9.3
W87.19 RCas194e-WHya189e          53.50070       149.4       353.5        15.4
W87.19 gamCru102i-gamCru096i       54.07318        35.7       218.1        17.0
W85.67 gamCru102i-gamCru096i       54.07365        36.4        50.7         2.9
W84.82 gamCru102i-gamCru096i       54.07393        36.8       239.4         2.5
W84.64 gamCru102i-gamCru096i       54.07399        36.9        75.3         7.0
W82.21 gamCru102i-gamCru096i       54.07482        38.1       252.1        11.3
W82.06 gamCru102i-gamCru096i       54.07487        38.2       182.9         9.0
W82.00 gamCru102i-gamCru096i       54.07489        38.2       276.8         0.6
W81.02 gamCru102i-gamCru096i       54.07523        38.7       232.3        10.0
W86.59 gamCru079i-gamCru071i       56.15814       356.3       349.8         1.4
W85.67 gamCru079i-gamCru071i       56.15823       356.3       323.7        19.3
W84.86 gamCru079i-gamCru071i       56.15830       356.2        78.6         8.2
W84.82 gamCru079i-gamCru071i       56.15831       356.2       324.9         6.5
W84.64 gamCru079i-gamCru071i       56.15832       356.2       165.6        17.6
W82.21 gamCru079i-gamCru071i       56.15855       356.1        77.6         2.9
W82.06 gamCru079i-gamCru071i       56.15856       356.1         9.6         3.8
W82.00 gamCru079i-gamCru071i       56.15857       356.1        77.7         6.5
W80.98 gamCru079i-gamCru071i       56.15866       356.1       334.7         2.9
Pd 4:2 gamCru081i-gamCru073i       56.64613       356.5       300.6         4.7
W87.19 gamCru081i-gamCru073i       56.64639       356.4       354.9         1.8
W86.59 gamCru081i-gamCru073i       56.64644       356.4       258.8         6.7
W86.58 gamCru081i-gamCru073i       56.64645       356.4       239.1         8.0
W86.4o gamCru081i-gamCru073i       56.64646       356.4       235.4         5.2
W84.86 gamCru081i-gamCru073i       56.64661       356.3       295.6        10.3
W84.82 gamCru081i-gamCru073i       56.64662       356.3       164.3        13.1
W84.64 gamCru081i-gamCru073i       56.64663       356.3       148.5         7.3
W83.63 gamCru081i-gamCru073i       56.64673       356.3       103.0        14.2
W82.21 gamCru081i-gamCru073i       56.64688       356.2        76.8         8.4
W82.06 gamCru081i-gamCru073i       56.64689       356.2       338.5         2.3
W82.00 gamCru081i-gamCru073i       56.64690       356.2        55.8         1.0
W80.98 WHya186e-WHya181i          57.35518       151.3       203.0         9.9
W81.02 WHya186e-WHya181i          57.35529       151.3       169.6         4.2
W85.67 WHya186e-WHya181i          57.36852       153.3       343.0         4.5
W86.4i WHya186e-WHya181i          57.37055       153.6       300.9         5.6
W86.4o WHya186e-WHya181i          57.37064       153.6       336.4         0.7
W82.06 muCep185e-WHya180i          57.45209       259.1       165.4         8.6
W82.21 muCep185e-WHya180i          57.45301       259.4       218.8         4.9
W83.63 muCep185e-WHya180i          57.46165       261.8       354.4         8.9
W84.64 muCep185e-WHya180i          57.46759       263.4       144.3         6.1
W84.82 muCep185e-WHya180i          57.46865       263.7       320.4         7.7
W84.86 muCep185e-WHya180i          57.46892       263.8        57.6         1.5
W85.67 muCep185e-WHya180i          57.47363       265.0       239.4         3.6
W86.4o muCep185e-WHya180i          57.47794       266.2        17.3         8.8
W87.19 muCep185e-WHya180i          57.48215       267.2        21.7         2.5
W85.67 alpLyr175i-betPeg172i       57.66528       317.4       190.5         5.3
W86.4i gamCru093i-RSCnc085e        57.66695        81.4       112.7         0.5
W85.67 gamCru093i-RSCnc085e        57.67117        82.9       334.5        13.7
W84.82 gamCru093i-RSCnc085e        57.67645        84.8        53.1        11.7
W84.64 gamCru093i-RSCnc085e        57.67762        85.3        97.8         3.7
W82.21 gamCru093i-RSCnc085e        57.69622        93.0       304.4         6.2
W82.06 gamCru093i-RSCnc085e        57.69774        93.7       215.2        11.4
W82.00 gamCru093i-RSCnc085e        57.69827        93.9       302.4        13.0
W82.00 gamCru093i-RSCnc085i        57.72878       110.8       183.7        15.7
W82.06 gamCru093i-RSCnc085i        57.72911       111.1       101.8         5.8
W82.21 gamCru093i-RSCnc085i        57.73003       111.7       194.0         9.7
W84.64 gamCru093i-RSCnc085i        57.73895       118.5       278.7         7.1
W86.4i gamCru100i-gamCru093i       57.74097        14.7        73.8        17.8
W85.67 gamCru100i-gamCru093i       57.74098        14.9        51.5        10.1
Pd 4:2 gamCru100i-gamCru093i       57.74099        14.0       333.7         4.5
W84.86 gamCru100i-gamCru093i       57.74099        15.1       105.3         8.4
W84.64 gamCru100i-gamCru093i       57.74100        15.1        58.8         6.8
W82.21 gamCru100i-gamCru093i       57.74107        15.7       191.4        12.7
W82.06 gamCru100i-gamCru093i       57.74107        15.8       103.4         7.5
W82.00 gamCru100i-gamCru093i       57.74107        15.8       156.6        19.0
W80.98 gamCru100i-gamCru093i       57.74112        16.0       337.1         6.4
W85.67 gamCru093i-RSCnc085i        57.74123       120.6       206.0         2.6
W86.4i gamCru093i-RSCnc085i        57.74256       121.8       342.8        11.1
W86.4o gamCru093i-RSCnc085i        57.74261       121.9        62.2         2.2
W82.06 muCep191i-RCas185i          57.74632       319.7       268.0         4.0
W84.82 muCep191i-RCas185i          57.74744       321.3       224.8         5.6
W85.67 muCep191i-RCas185i          57.74774       321.8        42.9         3.4
W84.86 gamCru086i-betGru078i       57.75901       235.9       344.0         2.5
W86.4i gamCru086i-betGru078i       57.76001       241.5        10.5         0.8
W86.58 gamCru086i-betGru078i       57.76005       242.0        25.3         2.9
W85.67 RCas185i-WHya180i          58.03878       183.9       247.2         4.1
W84.82 RCas185i-WHya180i          58.03985       184.0       118.9         5.5
W82.21 RCas185i-WHya180i          58.04320       184.1       192.6        10.2
W82.06 RCas185i-WHya180i          58.04340       184.1       127.1         4.7
W84.86 gamCru086i-gamCru078i       58.29820       356.1       107.2        14.8
W82.21 gamCru086i-gamCru078i       58.29852       356.0       115.2         4.8
W82.06 gamCru086i-gamCru078i       58.29854       356.0        33.4         1.9
W82.00 gamCru086i-gamCru078i       58.29855       356.0       105.0        14.6
W80.98 gamCru086i-gamCru078i       58.29867       356.0       152.8         3.6
W87.19 muCep191i-muCep185e         58.30299       239.2        16.1         6.8
W86.4i muCep191i-muCep185e         58.30809       240.0       113.6         4.7
W85.67 muCep191i-muCep185e         58.31289       240.7        51.5         2.0
W84.86 muCep191i-muCep185e         58.31834       241.5       108.9         6.5
W84.82 muCep191i-muCep185e         58.31864       241.6        29.9        10.5
W84.64 muCep191i-muCep185e         58.31987       241.8       194.7         5.5
W82.06 muCep191i-muCep185e         58.33763       244.7       230.1         9.1
W82.00 muCep191i-muCep185e         58.33799       244.8       323.8        14.9
W80.98 RCas191i-RCas185i          58.63252       325.7         1.9         5.6
W82.06 RCas191i-RCas185i          58.63342       326.3       351.9         4.1
W85.67 RCas191i-RCas185i          58.63619       328.1        19.4         4.0
W82.00 gamCru089i-gamCru081i       58.89309       358.3       246.8         1.9
W82.06 gamCru089i-gamCru081i       58.89309       358.3       175.1         9.4
W84.64 gamCru089i-gamCru081i       58.89310       358.3        61.4         1.7
W84.82 gamCru089i-gamCru081i       58.89311       358.3       312.2         3.8
W85.67 gamCru089i-gamCru081i       58.89311       358.3       152.7         1.0
W86.58 gamCru089i-gamCru081i       58.89312       358.3       171.8         6.5
W86.59 gamCru089i-gamCru081i       58.89312       358.3       207.2         0.7
W87.19 gamCru089i-gamCru081i       58.89312       358.4       264.5         1.4
W85.67 RCas191i-muCep185e          59.20134       247.0        29.0         2.3
W84.64 RCas191i-muCep185e          59.20793       248.1       151.5        15.8
W82.21 RCas191i-muCep185e          59.22374       251.1        87.1         2.1
W82.06 RCas191i-muCep185e          59.22473       251.3       309.6         5.9
W81.02 RCas191i-muCep185e          59.23168       252.6       249.0        18.1
W81.02 RCas195i-muCep185e          59.23168       252.6       249.0        18.1
W87.19 RCas106i-gamCru101i         59.91575       214.0       339.8         3.2
W86.59 RCas106i-gamCru101i         59.91680       214.7       205.0         0.6
W86.4o RCas106i-gamCru101i         59.91710       214.9       202.2         4.0
W85.67 RCas106i-gamCru101i         59.91862       215.9        13.0         1.6
W84.82 RCas106i-gamCru101i         59.92058       217.1       245.1        10.4
W84.64 RCas106i-gamCru101i         59.92104       217.4       308.9         8.3
W86.58 gamCru094i-gamCru086i       59.92686        13.9       231.8        10.6
W86.4o gamCru094i-gamCru086i       59.92687        13.9       222.7         2.8
W82.21 gamCru094i-gamCru086i       59.92716        14.6         1.4         7.8
W82.06 gamCru094i-gamCru086i       59.92717        14.7       242.2         6.5
W82.00 gamCru094i-gamCru086i       59.92717        14.7       294.5         3.0
W80.98 gamCru094i-gamCru086i       59.92723        14.9       198.1         3.6
W82.06 RCas106i-gamCru101i         59.92983       222.7       156.5         8.4
W82.00 RCas106i-gamCru101i         59.93008       222.9       246.1         1.3
W81.02 RCas106i-gamCru101i         59.93605       226.3       256.3         5.1
W80.98 RCas106i-gamCru101i         59.93635       226.4       327.1         3.5
W86.59 gamCru101i-gamCru094i       59.95006        30.2       280.8         0.5
W86.58 gamCru101i-gamCru094i       59.95007        30.2       221.6         4.6
W85.67 gamCru101i-gamCru094i       59.95022        30.6       147.2        12.1
W84.64 gamCru101i-gamCru094i       59.95041        31.0       141.2         9.2
W82.21 gamCru101i-gamCru094i       59.95089        32.1       290.8         4.0
W82.06 gamCru101i-gamCru094i       59.95093        32.1       165.6         8.1
W82.00 gamCru101i-gamCru094i       59.95094        32.1       208.4         2.7
W80.98 gamCru101i-gamCru094i       59.95116        32.6       113.7         3.5
W87.19 muCep193i-gamCru187e        60.07555        59.0       168.2        12.3
W86.59 muCep193i-gamCru187e        60.07812        59.6        90.9        11.9
W86.4i muCep193i-gamCru187e        60.07895        59.7       281.7         3.5
W84.86 muCep193i-gamCru187e        60.08575        61.1       151.2         3.4
W84.82 muCep193i-gamCru187e        60.08595        61.2        73.1         5.1
W84.64 muCep193i-gamCru187e        60.08676        61.3        72.9        10.3
W84.64 muCep193i-Whya189e          60.08676        61.3        72.9        10.3
W82.21 muCep193i-gamCru187e        60.09766        63.7         0.9         3.3
W82.06 muCep193i-gamCru187e        60.09834        63.9       234.6         7.6
W82.00 muCep193i-gamCru187e        60.09857        64.0       293.0         6.4
W80.98 muCep193i-gamCru187e        60.10322        65.0       344.7         2.5
W86.59 RSCnc085i-gamCru077i        60.16011       263.2        77.7         5.6
W86.4i RSCnc085i-gamCru077i        60.16049       263.6       343.7        16.8
W84.64 RSCnc085i-gamCru077i        60.16473       267.4       166.1         7.0
W82.21 RSCnc085i-gamCru077i        60.17449       275.1       203.7         7.2
W82.06 RSCnc085i-gamCru077i        60.17547       275.8        80.3         5.7
W82.00 RSCnc085i-gamCru077i        60.17581       276.0       139.4         3.1
W82.00 RSCnc085e-gamCru077i        60.20632       292.9        20.1         2.1
