Title: Saturn's G and D rings provide nearly complete measured scattering/phase 
       functions of nearby debris disks  
Authors: Hedman M.M., Stark C.C. 
Table: Normal Equivalent Width estimates for D68 derived from entire images, 
       almost all of which were obtained at scattering angles above 15 deg
================================================================================
Byte-by-byte Description of file: apj519262t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label    Explanations
--------------------------------------------------------------------------------
   1- 11 A11    ---   Image    Image Name
  13- 28 F16.6  s     ET       Ephemeris Time; seconds past J2000 epoch
  30- 35 F6.2   deg   {theta}  Scattering angle at the ring
  37- 42 F6.2   deg   B        Opening angle of the ring to the spacecraft
  44- 48 F5.2   m     NEW-INT  Normal equivalent width; Integrated Method
  50- 53 F4.2   m     NEW-FIT  Normal equivalent width; Fit Method
--------------------------------------------------------------------------------
N1629423770 304002102.154140  59.69   9.87  0.59 0.70 
N1629423710 304002042.064567  59.69   9.87  0.65 0.63 
N1629423650 304001981.814994  59.69   9.87  0.45 0.73 
N1629423594 304001925.565393  59.69   9.87  0.66 0.70 
N1551438946 226017814.009231  62.26  57.34  0.39 0.32 
N1551438884 226017745.305717  62.27  57.34  0.32 0.33 
N1552930916 227509774.568224  65.19  54.82  0.23 0.28 
N1552930854 227509705.864710  65.20  54.82  0.33 0.31 
N1549740228 224319106.766176  67.35  57.46  0.27 0.21 
N1549740094 224318966.055305  67.36  57.46  0.20 0.24 
N1629151968 303730302.388605  70.29  13.18  0.41 0.77 
N1629151908 303730242.309032  70.29  13.18  0.36 0.52 
N1629151848 303730182.219459  70.29  13.18  0.70 0.63 
N1629151788 303730122.159886  70.29  13.18  0.43 0.58 
N1629151728 303730062.090313  70.30  13.18  0.33 0.57 
N1629151668 303730001.900740  70.30  13.18  0.71 0.64 
N1629151608 303729941.751167  70.30  13.18  0.63 0.67 
N1629151548 303729881.501594  70.30  13.18  0.66 0.59 
N1629151495 303729828.201971  70.31  13.18  0.43 0.59 
N1629139638 303717972.356360  70.82  13.33  0.67 0.56 
N1629139578 303717912.246787  70.82  13.33  0.35 0.56 
N1629139518 303717852.087214  70.82  13.33  0.77 0.59 
N1629139458 303717791.587641  70.82  13.34  0.71 0.56 
N1629139405 303717737.988018  70.83  13.34  0.51 0.54 
N1629139345 303717677.288445  70.83  13.34  0.28 0.53 
N1629139293 303717624.188815  70.83  13.34  0.74 0.50 
N1629139233 303717562.589242  70.83  13.34  0.60 0.48 
N1629005867 303584202.198433  77.38  15.21  0.48 0.57 
N1629005807 303584142.408861  77.39  15.21 -0.40 0.38 
N1629005747 303584082.259288  77.39  15.22  0.41 0.51 
N1629005687 303584022.129714  77.39  15.22 -0.05 0.42 
N1629005627 303583961.940142  77.40  15.22  0.60 0.52 
N1629005574 303583908.240519  77.40  15.22  0.05 0.48 
N1629005514 303583847.240946  77.40  15.22  0.40 0.50 
N1629005462 303583792.541316  77.40  15.22  0.37 0.49 
N1629005410 303583736.541686  77.41  15.22  0.49 0.47 
N1628993597 303571932.395761  78.09  15.42  0.57 0.54 
N1628993537 303571872.286188  78.09  15.42  0.40 0.62 
N1628993477 303571812.216615  78.10  15.42  0.64 0.63 
N1628993417 303571752.127042  78.10  15.42  0.56 0.64 
N1628993357 303571691.727470  78.10  15.42  0.18 0.57 
N1628993304 303571638.327847  78.11  15.42  0.41 0.59 
N1628993252 303571584.828217  78.11  15.42  0.37 0.57 
N1628993192 303571522.628644  78.11  15.43  0.53 0.57 
N1628993140 303571466.629014  78.12  15.43  0.47 0.60 
N1628943346 303521681.793408  81.31  16.27  0.07 0.47 
N1628943286 303521621.643835  81.31  16.27  0.19 0.44 
N1628943226 303521561.574262  81.31  16.28  0.66 0.60 
N1628943166 303521501.384689  81.32  16.28  0.37 0.50 
N1628943113 303521447.685066  81.32  16.28  0.42 0.50 
N1628943053 303521386.685493  81.33  16.28  0.44 0.48 
N1628943001 303521332.885863  81.33  16.28  0.45 0.49 
N1628942941 303521270.986290  81.34  16.28  0.46 0.48 
N1628942889 303521215.986660  81.34  16.28  0.41 0.48 
N1628921881 303500216.636178  82.59  16.67  0.48 0.62 
N1628920936 303499271.952904  82.94  16.69  0.57 0.65 
N1628920876 303499211.803331  82.95  16.69  0.56 0.57 
N1628920816 303499151.733758  82.95  16.69  0.50 0.53 
N1628920756 303499091.544185  82.96  16.69  0.52 0.52 
N1628920703 303499037.844562  82.96  16.69  0.48 0.60 
N1628920643 303498976.844989  82.97  16.69  0.45 0.56 
N1628920591 303498923.045359  82.97  16.69  0.53 0.57 
N1628920531 303498861.145787  82.98  16.69  0.47 0.57 
N1628920479 303498806.146157  82.98  16.70  0.52 0.55 
N1547927324 222506211.504331  95.88  43.40  0.34 0.36 
N1632477236 307055546.747026  99.90  11.22  0.25 0.33 
N1619794259 294372659.498570 105.33  63.55 -0.25 0.47 
N1630301204 304879530.089305 106.78  11.90  0.42 0.46 
N1597748316 272326864.247751 107.09  66.95  0.48 0.57 
N1597748508 272327056.246395 107.16  66.15  0.58 0.51 
N1597748127 272326675.249087 108.09  66.33  0.63 0.58 
N1597748689 272327237.245115 108.26  64.27  0.34 0.36 
N1597747954 272326502.250310 109.95  64.53  0.42 0.34 
N1597748849 272327397.243985 110.13  61.94  0.29 0.30 
N1597747807 272326355.251348 112.30  62.14  0.20 0.23 
N1597748983 272327531.243038 112.39  59.73  0.21 0.23 
N1549403609 223982487.168871 112.75  30.59  0.28 0.30 
N1597747670 272326218.252317 114.70  59.75  0.26 0.24 
N1766977522 441554951.352678 127.22  49.29  0.26 0.26 
N1738736572 413314181.507459 134.23 -15.41  0.39 0.39 
N1738735670 413313279.513187 134.34 -15.32  0.38 0.41 
N1738735219 413312828.516051 134.40 -15.27  0.40 0.42 
N1738734768 413312377.518916 134.46 -15.22  0.32 0.37 
N1738734317 413311926.521780 134.52 -15.18  0.38 0.37 
N1738733866 413311475.524644 134.58 -15.13  0.35 0.42 
N1738733415 413311024.527508 134.63 -15.09  0.36 0.35 
N1738732964 413310573.530373 134.69 -15.04  0.53 0.41 
N1738732513 413310122.533237 134.75 -14.99  0.22 0.36 
N1738732062 413309671.536101 134.81 -14.95  0.43 0.39 
N1738731611 413309220.538965 134.87 -14.90  0.38 0.35 
N1738731160 413308769.541829 134.92 -14.86  0.23 0.33 
N1738730709 413308318.544694 134.98 -14.81  0.35 0.32 
N1738730258 413307867.547558 135.04 -14.76  0.33 0.35 
N1738729807 413307416.550422 135.10 -14.71  0.37 0.32 
N1738729356 413306965.553286 135.16 -14.67  0.44 0.32 
N1738728905 413306514.556150 135.21 -14.62  0.32 0.36 
N1738728454 413306063.559015 135.27 -14.57  0.35 0.37 
N1738728003 413305612.561879 135.33 -14.53  0.48 0.38 
N1738727552 413305161.564743 135.39 -14.48  0.33 0.35 
N1738727101 413304710.567607 135.45 -14.43  0.32 0.32 
N1738726650 413304259.570472 135.51 -14.39  0.24 0.33 
N1738726199 413303808.573336 135.57 -14.34  0.40 0.33 
N1738725748 413303357.576200 135.63 -14.29  0.37 0.35 
N1738725297 413302906.579064 135.69 -14.25  0.08 0.30 
N1738724846 413302455.581928 135.75 -14.20  0.29 0.32 
N1738724395 413302004.584793 135.80 -14.15  0.34 0.30 
N1738723944 413301553.587657 135.87 -14.10  0.25 0.29 
N1738723493 413301102.590521 135.93 -14.05  0.27 0.30 
N1738723042 413300651.593385 135.98 -14.01  0.30 0.29 
N1738722591 413300200.596250 136.04 -13.96  0.30 0.29 
N1738722140 413299749.599114 136.10 -13.91  0.31 0.32 
N1738721689 413299298.601978 136.16 -13.87  0.20 0.34 
N1738721238 413298847.604842 136.22 -13.82  0.25 0.35 
N1738720787 413298396.607706 136.28 -13.77  0.24 0.38 
N1738720336 413297945.610571 136.34 -13.72  0.46 0.42 
N1738719885 413297494.613435 136.40 -13.67  0.44 0.45 
N1738719434 413297043.616299 136.46 -13.63  0.51 0.44 
N1738718983 413296592.619163 136.52 -13.58  0.41 0.42 
N1738718532 413296141.622028 136.58 -13.53  0.36 0.40 
N1738718081 413295690.624892 136.64 -13.48  0.46 0.38 
N1738717630 413295239.627756 136.70 -13.43  0.39 0.39 
N1738717179 413294788.630620 136.76 -13.39  0.42 0.39 
N1738716728 413294337.633484 136.82 -13.34  0.38 0.35 
N1738716277 413293886.636349 136.88 -13.29  0.39 0.36 
N1738715826 413293435.639213 136.94 -13.24  0.40 0.38 
N1738715375 413292984.642077 137.00 -13.19  0.36 0.33 
N1735264045 409841676.290723 137.01 -12.62  0.44 0.31 
N1738714924 413292533.644941 137.06 -13.14  0.28 0.34 
N1735263281 409840912.295575 137.12 -12.54  0.43 0.33 
N1738714473 413292082.647806 137.12 -13.10  0.31 0.31 
N1738714022 413291631.650670 137.19 -13.04  0.31 0.31 
N1735262517 409840148.300427 137.22 -12.46  0.24 0.30 
N1738713571 413291180.653534 137.25 -13.00  0.30 0.32 
N1738713120 413290729.656398 137.31 -12.95  0.31 0.33 
N1735261753 409839384.305279 137.32 -12.37  0.37 0.26 
N1738712669 413290278.659262 137.37 -12.90  0.34 0.31 
N1588312695 262891295.831032 137.40 -40.21  0.19 0.20 
N1738712218 413289827.662127 137.43 -12.85  0.25 0.32 
N1735260989 409838620.310131 137.43 -12.29  0.25 0.28 
N1738711767 413289376.680616 137.49 -12.80  0.27 0.33 
N1735260225 409837856.314983 137.53 -12.20  0.33 0.29 
N1735259461 409837092.319835 137.64 -12.12  0.31 0.32 
N1735258697 409836328.324687 137.74 -12.03  0.42 0.36 
N1735257933 409835564.329539 137.85 -11.95  0.35 0.37 
N1735257169 409834800.334391 137.96 -11.86  0.38 0.43 
N1735256405 409834036.339243 138.06 -11.77  0.39 0.40 
N1735255641 409833272.344095 138.16 -11.69  0.42 0.40 
N1735254877 409832508.348947 138.27 -11.60  0.34 0.37 
N1735254113 409831744.353799 138.38 -11.52  0.38 0.35 
N1735253349 409830980.358651 138.48 -11.43  0.34 0.35 
N1735252585 409830216.363503 138.59 -11.34  0.45 0.35 
N1735251821 409829452.368355 138.70 -11.25  0.40 0.34 
N1735251057 409828688.373207 138.80 -11.17  0.34 0.30 
N1735250293 409827924.378059 138.91 -11.08  0.41 0.36 
N1735249529 409827160.382911 139.02 -10.99  0.30 0.33 
N1735248765 409826396.387763 139.13 -10.90  0.39 0.37 
N1735248001 409825632.392615 139.24 -10.81  0.31 0.34 
N1735247237 409824868.397467 139.35 -10.73  0.48 0.37 
N1735246473 409824104.402319 139.45 -10.64  0.25 0.32 
N1735245709 409823340.407171 139.56 -10.55  0.28 0.34 
N1735244945 409822576.427648 139.67 -10.46  0.34 0.34 
N1493559711 168138949.337177 141.49 -19.49  0.33 0.31 
N1493557225 168136463.603110 146.56 -19.49  0.40 0.16 
N1751160661 425738190.864669 148.56  -6.27  0.29 0.28 
N1751160006 425737535.868829 148.70  -6.16  0.24 0.29 
N1751159351 425736880.872989 148.83  -6.04  0.26 0.28 
N1751158696 425736225.877149 148.96  -5.93  0.27 0.29 
N1751158041 425735570.881309 149.09  -5.81  0.30 0.30 
N1751157386 425734915.885469 149.23  -5.70  0.31 0.31 
N1751156731 425734260.889630 149.36  -5.58  0.28 0.28 
N1751156076 425733605.893790 149.49  -5.46  0.24 0.28 
N1751155421 425732950.897950 149.62  -5.35  0.21 0.27 
N1751154766 425732295.902110 149.76  -5.23  0.26 0.27 
N1751153456 425730985.910430 150.03  -5.00  0.09 0.23 
N1751152801 425730330.914590 150.16  -4.88  0.26 0.25 
N1751151491 425729020.922911 150.42  -4.65  0.30 0.26 
N1751150836 425728365.927071 150.56  -4.53  0.30 0.29 
N1751150181 425727710.931231 150.70  -4.41  0.31 0.31 
N1751149526 425727055.935391 150.83  -4.30  0.40 0.35 
N1751148871 425726400.939551 150.97  -4.18  0.38 0.39 
N1751148216 425725745.943711 151.10  -4.06  0.36 0.36 
N1751147561 425725090.947871 151.24  -3.94  0.38 0.32 
N1751146906 425724435.967656 151.39  -3.81  0.36 0.33 
N1571970425 246549160.773268 152.56  -2.39  0.27 0.30 
N1571970458 246549196.990848 152.58  -2.39  0.22 0.33 
N1571970191 246548930.022726 152.76  -2.40  0.24 0.26 
N1571969891 246548626.777023 152.92  -2.42  0.40 0.24 
N1571969948 246548687.046623 152.95  -2.41  0.43 0.24 
N1784082291 458659612.047769 153.32  -3.85  0.13 0.26 
N1784081635 458658956.051940 153.42  -3.76  0.49 0.24 
N1784080979 458658300.056111 153.52  -3.67  0.25 0.23 
N1784079667 458656988.064453 153.73  -3.49  0.37 0.31 
N1784078355 458655676.072795 153.94  -3.31  0.15 0.21 
N1784077699 458655020.076966 154.04  -3.22  0.23 0.26 
N1784077043 458654364.081137 154.14  -3.13  0.33 0.26 
N1784076387 458653708.085308 154.24  -3.04  0.35 0.26 
N1784075731 458653052.089479 154.34  -2.95  0.51 0.30 
N1784075075 458652396.093650 154.44  -2.86  0.04 0.17 
N1784074419 458651740.097821 154.54  -2.77  0.35 0.20 
N1784072451 458649772.110334 154.84  -2.51  0.26 0.25 
N1784071795 458649116.114506 154.93  -2.42  0.18 0.28 
N1784070483 458647804.122848 155.13  -2.24  0.23 0.29 
N1784069827 458647148.127019 155.22  -2.15  0.27 0.28 
N1784069171 458646492.131190 155.32  -2.07  0.39 0.41 
N1784068515 458645836.150986 155.42  -1.98  0.37 0.33 
N1572470016 247048751.319858 158.81   2.05  0.16 0.16 
N1572469840 247048575.336720 158.81   2.05  0.15 0.16 
N1572470196 247048931.318592 158.81   2.05  0.18 0.17 
N1496894464 171473677.053475 159.19 -16.16  0.21 0.23 
N1496894416 171473633.545969 159.24 -16.18  0.24 0.20 
N1575636127 250214839.882745 165.44   5.14  0.22 0.24 
N1504582863 179162031.662388 167.90 -15.82  0.40 0.24 
N1504584296 179163462.951023 169.38 -15.68  0.23 0.22 
N1504584256 179163424.683467 169.43 -15.68  0.49 0.38 
