Title: Saturn's G and D rings provide nearly complete measured scattering/phase 
       functions of nearby debris disks  
Authors: Hedman M.M., Stark C.C. 
Table: Normal Equivalent Width estimates for D68 derived from entire images, 
       almost all of which were obtained at scattering angles above 15 deg
================================================================================
Byte-by-byte Description of file: apj519262t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label    Explanations
--------------------------------------------------------------------------------
   1- 11 A11    ---   Image    Image Name
  13- 28 F16.6  s     ET       Ephemeris Time; seconds past J2000 epoch
  30- 35 F6.2   deg   {theta}  Scattering angle at the ring
  37- 42 F6.2   deg   B        Opening angle of the ring to the spacecraft
  44- 48 F5.2   m     NEW-INT  Normal equivalent width; Integrated Method
  50- 53 F4.2   m     NEW-FIT  Normal equivalent width; Fit Method
--------------------------------------------------------------------------------
N1550170475 224749344.316332  17.86  25.42  3.03 3.08 
N1550170159 224749028.318332  17.86  25.47  3.06 3.13 
N1550169843 224748712.320331  17.86  25.51  3.10 3.23 
N1550169527 224748396.322331  17.87  25.56  3.16 3.28 
N1550169211 224748080.324331  17.87  25.61  3.19 3.31 
N1550168895 224747764.326330  17.88  25.66  3.26 3.36 
N1550168579 224747448.328330  17.88  25.70  3.79 3.93 
N1550168263 224747132.330329  17.89  25.75  3.21 3.34 
N1550167947 224746816.332329  17.89  25.80  3.12 3.30 
N1550167631 224746500.334328  17.90  25.84  3.22 3.35 
N1550167315 224746184.336328  17.90  25.89  3.16 3.32 
N1550166999 224745868.338328  17.91  25.94  3.22 3.38 
N1550166683 224745552.340327  17.91  25.98  3.29 3.47 
N1550166367 224745236.342327  17.92  26.03  3.33 3.45 
N1550166051 224744920.344326  17.92  26.08  3.34 3.48 
N1550165735 224744604.346326  17.93  26.12  3.33 3.50 
N1550165419 224744288.348326  17.93  26.17  3.33 3.54 
N1550165103 224743972.350325  17.94  26.22  3.37 3.57 
N1550164787 224743656.352325  17.95  26.27  3.42 3.58 
N1550164471 224743340.354324  17.95  26.31  3.37 3.58 
N1550164155 224743024.356324  17.96  26.35  3.33 3.49 
N1550163839 224742708.358323  17.97  26.40  3.30 3.44 
N1550163523 224742392.360323  17.98  26.45  3.25 3.23 
N1550163207 224742076.362323  17.98  26.50  3.03 3.01 
N1550162891 224741760.364322  17.99  26.54  2.94 2.85 
N1550162575 224741444.366322  18.00  26.59  2.90 2.79 
N1550162259 224741128.368321  18.01  26.64  2.85 2.76 
N1550161943 224740812.370321  18.01  26.68  2.80 2.76 
N1550161627 224740496.372320  18.02  26.73  2.81 2.74 
N1550161311 224740180.374320  18.03  26.77  2.64 2.68 
N1550160995 224739864.376320  18.04  26.82  2.78 2.70 
N1550160679 224739548.378319  18.05  26.87  2.78 2.69 
N1550160363 224739232.380319  18.05  26.91  2.64 2.60 
N1550160047 224738916.382318  18.06  26.96  2.64 2.57 
N1550159731 224738600.384318  18.08  27.01  2.64 2.59 
N1550159415 224738284.386317  18.08  27.05  2.70 2.61 
N1550159099 224737968.388317  18.09  27.10  2.77 2.62 
N1550158783 224737652.390317  18.10  27.14  2.71 2.63 
N1550158467 224737336.392316  18.11  27.19  2.68 2.63 
N1550158151 224737020.394316  18.12  27.24  2.69 2.64 
N1550157836 224736705.396309  18.13  27.28  2.71 2.64 
N1544384451 218963361.019253  18.30  20.37  2.41 2.54 
N1544384523 218963425.022702  18.31  20.36  2.45 2.62 
N1544384611 218963503.029956  18.31  20.36  2.37 2.75 
N1544384801 218963711.001406  18.39  20.62  2.48 2.60 
N1544384873 218963775.008761  18.39  20.62  2.49 2.66 
N1544384961 218963853.012108  18.40  20.61  2.44 2.59 
N1551798787 226377647.512681  18.89   8.07  2.47 2.61 
N1551799178 226378038.510207  19.00   7.94  2.47 2.35 
N1536743096 211322048.672909  19.02  19.98  1.85 1.88 
N1551799570 226378430.507727  19.12   7.81  2.43 2.93 
N1551799962 226378822.505246  19.23   7.68  2.40 2.31 
N1551800354 226379214.502766  19.35   7.55  2.33 2.24 
N1551800746 226379606.500285  19.47   7.42  2.28 2.17 
N1551801138 226379998.497804  19.59   7.29  2.23 2.12 
N1551801530 226380390.495324  19.71   7.16  2.18 2.14 
N1551801922 226380782.492843  19.83   7.02  2.14 2.07 
N1641835989 316414232.567548  19.83 -21.29  4.04 3.63 
N1551802314 226381174.490363  19.95   6.89  2.11 2.10 
N1551802706 226381566.487882  20.07   6.76  2.07 2.12 
N1627207409 301785757.178271  20.10  -6.87  2.61 2.46 
N1627207349 301785696.998698  20.11  -6.86  2.86 2.66 
N1627207289 301785636.739125  20.12  -6.85  2.85 2.66 
N1627207229 301785576.339552  20.13  -6.84  2.90 2.70 
N1627207176 301785522.439929  20.13  -6.83  2.89 2.75 
N1551803098 226381958.485402  20.19   6.63  2.07 2.02 
N1551803490 226382350.482921  20.31   6.49  2.09 2.15 
N1551803882 226382742.480441  20.43   6.36  2.07 2.09 
N1627206584 301784931.844142  20.51  -6.75  2.85 2.66 
N1627206524 301784871.344569  20.52  -6.74  2.96 2.76 
N1627206471 301784817.044946  20.53  -6.73  2.89 2.85 
N1627206419 301784762.345316  20.54  -6.72  2.95 2.78 
N1551804274 226383134.477960  20.56   6.23  2.12 2.02 
N1551804666 226383526.475480  20.68   6.09  2.12 2.05 
N1551805058 226383918.472999  20.80   5.96  2.13 2.03 
N1551805450 226384310.470519  20.93   5.82  2.17 2.06 
N1543426394 218005299.097494  22.18  15.44  1.90 2.02 
N1543426574 218005445.100256  22.19  15.43  1.90 2.17 
N1719549271 394127001.596167  25.13 -18.41  2.86 2.66 
N1541397571 215976491.969994  25.63  12.47  1.78 1.81 
N1541397703 215976602.976964  25.64  12.47  1.73 2.03 
N1719565362 394143092.494038  27.45 -16.06  2.08 1.85 
N1719564388 394142117.600220  27.95 -15.97  2.00 1.83 
N1719563843 394141572.603679  28.28 -16.05  1.97 1.78 
N1719563298 394141027.607138  28.60 -16.14  1.89 1.71 
N1719562753 394140482.610597  28.92 -16.23  1.64 1.53 
N1719562208 394139937.614056  29.25 -16.31  1.65 1.50 
N1541986518 216565445.930900  29.40  42.87  1.46 1.39 
N1541986456 216565367.227389  29.41  42.88  1.51 1.49 
N1532676869 207255847.649146  29.55  14.16  1.38 1.68 
N1719561663 394139392.617515  29.56 -16.39  1.71 1.55 
N1541986794 216565721.917419  29.62  43.11  1.46 1.68 
N1719561118 394138847.620975  29.87 -16.47  1.60 1.49 
N1719560573 394138302.624434  30.18 -16.55  1.60 1.47 
N1719560028 394137757.627893  30.49 -16.63  1.66 1.52 
N1765102855 439680296.816731  30.60 -34.92  2.22 2.06 
N1765102335 439679776.820033  30.66 -34.96  1.92 1.91 
N1765101815 439679256.823335  30.73 -35.00  1.81 1.90 
N1719559483 394137212.631352  30.79 -16.71  1.82 1.63 
N1765101295 439678736.826638  30.79 -35.05  1.95 1.91 
N1765100775 439678216.829940  30.86 -35.09  1.74 1.77 
N1765100255 439677696.833242  30.93 -35.14  1.81 1.74 
N1765099735 439677176.836545  30.99 -35.18  1.84 1.67 
N1765099215 439676656.839847  31.06 -35.22  2.04 1.74 
N1719558938 394136667.634811  31.09 -16.78  1.89 1.69 
N1765098695 439676136.843150  31.13 -35.27  1.40 1.76 
N1765098175 439675616.846452  31.19 -35.32  1.82 1.67 
N1765097655 439675096.849754  31.26 -35.36  1.75 1.67 
N1765097135 439674576.853057  31.32 -35.40  1.78 1.66 
N1719558393 394136122.638270  31.38 -16.85  1.90 1.79 
N1765096615 439674056.856359  31.39 -35.45  1.73 1.59 
N1765096095 439673536.859662  31.46 -35.49  1.83 1.70 
N1765095575 439673016.862964  31.52 -35.53  1.65 1.60 
N1765095055 439672496.866266  31.59 -35.58  1.61 1.60 
N1765094535 439671976.869569  31.66 -35.62  1.67 1.61 
N1719557848 394135577.641729  31.68 -16.93  2.18 1.94 
N1765094015 439671456.872871  31.73 -35.67  1.76 1.73 
N1765093495 439670936.876173  31.79 -35.71  1.49 1.55 
N1765092975 439670416.879476  31.86 -35.75  1.60 1.58 
N1765092455 439669896.882778  31.93 -35.80  1.56 1.52 
N1719557303 394135032.645188  31.97 -17.00  2.02 1.85 
N1765091935 439669376.886080  32.00 -35.84  1.58 1.56 
N1765091415 439668856.889383  32.06 -35.90  1.41 1.42 
N1765090895 439668336.892685  32.12 -35.94  1.26 1.26 
N1765090375 439667816.895988  32.19 -35.99  1.49 1.36 
N1719556758 394134487.648647  32.26 -17.07  1.94 1.76 
N1765089855 439667296.899290  32.26 -36.03  1.44 1.38 
N1765089335 439666776.902592  32.33 -36.07  1.07 1.29 
N1765088815 439666256.905895  32.40 -36.11  1.43 1.39 
N1765088295 439665736.909197  32.47 -36.16  1.62 1.55 
N1765087775 439665216.912499  32.53 -36.20  2.05 1.69 
N1719556213 394133942.652106  32.54 -17.14  1.90 1.73 
N1765087255 439664696.915802  32.60 -36.25  1.63 1.60 
N1765086735 439664176.919104  32.67 -36.29  1.75 1.83 
N1765086215 439663656.922406  32.74 -36.33  1.82 1.83 
N1765085695 439663136.925709  32.81 -36.38  1.81 1.98 
N1719555668 394133397.655565  32.82 -17.20  1.82 1.66 
N1765085175 439662616.929011  32.88 -36.42  1.94 1.85 
N1765084655 439662096.932314  32.94 -36.47  1.67 1.63 
N1765084135 439661576.935616  33.01 -36.51  1.78 1.66 
N1765083615 439661056.938918  33.08 -36.56  1.92 1.62 
N1719555123 394132852.659024  33.10 -17.27  1.68 1.54 
N1765083095 439660536.942221  33.15 -36.60  1.44 1.56 
N1765082575 439660016.945523  33.22 -36.64  1.15 1.53 
N1765082055 439659496.948826  33.29 -36.69  1.73 1.53 
N1765081535 439658976.952128  33.36 -36.73  1.74 1.57 
N1719554578 394132307.662484  33.37 -17.33  1.61 1.46 
N1765081015 439658456.955430  33.43 -36.77  1.79 1.58 
N1765080495 439657936.958733  33.50 -36.82  1.34 1.44 
N1765079975 439657416.962035  33.57 -36.86  1.47 1.42 
N1765079455 439656896.965337  33.64 -36.91  1.68 1.40 
N1719554033 394131762.665943  33.65 -17.40  1.56 1.40 
N1765078935 439656376.968640  33.71 -36.95  1.45 1.40 
N1765078415 439655856.971942  33.78 -37.00  1.60 1.48 
N1765077895 439655336.975244  33.85 -37.04  1.45 1.42 
N1719553488 394131217.669402  33.92 -17.46  1.53 1.36 
N1765077375 439654816.978547  33.92 -37.08  1.48 1.43 
